workclass,age,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income
3,59,223215,9,13,2,3,0,4,1,49,1
2,57,437727,12,14,2,9,0,4,1,44,1
2,46,167515,15,10,2,9,0,4,1,49,1
0,46,213140,12,14,2,3,0,4,1,39,1
2,52,168553,11,9,2,2,0,4,1,39,1
2,45,363677,10,16,2,9,5,4,0,29,1
2,37,241998,9,13,2,12,0,4,1,39,1
2,46,337050,12,14,2,3,0,4,1,44,1
2,44,157249,9,13,2,9,0,2,1,49,1
2,45,84298,8,11,2,3,0,4,1,49,1
2,43,55213,11,9,2,6,0,4,1,51,1
1,54,185846,12,14,2,9,0,4,1,39,1
2,50,150999,12,14,2,9,0,4,1,39,1
2,51,199688,9,13,2,3,0,4,1,59,1
2,45,225456,9,13,2,9,0,4,1,39,1
2,36,192939,12,14,2,9,0,4,1,59,1
2,27,183627,9,13,2,3,0,4,1,49,1
2,36,189404,9,13,2,11,0,4,1,34,1
2,53,152810,12,14,2,3,0,4,1,54,1
1,51,123011,12,14,2,9,0,4,1,34,1
2,28,114158,9,13,2,9,5,4,0,23,1
4,47,228660,15,10,2,2,0,4,1,39,1
2,45,233511,9,13,2,3,0,4,1,59,1
1,45,159816,12,14,2,9,5,4,0,34,1
4,39,202027,14,15,2,9,0,4,1,49,1
2,39,218490,9,13,2,3,0,4,1,39,1
4,55,248841,12,14,2,9,0,4,1,39,1
2,62,71751,15,10,2,3,0,4,1,92,1
2,49,137192,9,13,2,11,0,1,1,49,1
4,53,100109,12,14,2,3,0,4,1,39,1
2,31,183043,12,14,2,3,0,4,1,47,1
3,42,188738,11,9,2,3,0,4,1,59,1
2,39,201410,9,13,2,13,0,4,1,44,1
4,60,282066,9,13,2,3,0,4,1,44,1
2,26,291968,14,15,2,9,0,4,1,39,1
2,37,126569,12,14,2,3,0,4,1,39,1
5,45,103406,9,13,2,3,0,4,1,59,1
2,37,109133,7,12,2,11,0,4,1,44,1
2,32,195602,9,13,2,11,0,4,1,44,1
3,39,135500,11,9,2,3,0,4,1,39,1
4,58,147653,0,6,2,2,5,4,0,34,1
2,45,145636,12,14,2,3,0,4,1,42,1
2,41,137126,9,13,2,9,0,4,1,44,1
4,36,36270,11,9,2,4,0,4,1,64,1
5,51,285747,12,14,2,9,0,4,1,59,1
2,39,80324,15,10,2,3,0,4,1,61,1
4,56,94156,14,15,2,9,0,4,1,49,1
0,53,271544,11,9,2,0,0,2,1,39,1
4,40,175943,8,11,2,9,5,4,0,14,1
2,57,141570,12,14,2,3,0,2,1,39,1
1,50,124963,11,9,2,2,0,4,1,34,1
2,34,112115,14,15,2,9,0,4,1,54,1
2,35,99357,9,13,2,3,5,4,0,29,1
4,30,404062,11,9,2,9,0,4,1,14,1
1,53,200190,12,14,2,9,0,4,1,54,1
5,31,207505,10,16,2,9,0,4,1,68,1
2,37,135436,9,13,2,3,0,4,1,59,1
2,34,345705,9,13,2,11,0,4,1,49,1
2,36,126675,12,14,2,9,0,4,1,49,1
2,40,107433,9,13,2,3,0,4,1,49,1
2,51,230858,15,10,2,2,0,4,1,59,1
2,33,133503,11,9,2,11,0,4,1,44,1
2,40,46990,10,16,2,9,5,4,0,19,1
3,50,201689,5,4,2,2,0,4,1,62,1
3,46,216414,12,14,2,11,0,4,1,59,1
2,54,182314,10,16,2,3,0,4,1,49,1
2,39,134367,12,14,2,9,5,4,0,23,1
3,54,206964,15,10,2,11,0,4,1,39,1
2,31,147284,10,16,2,9,0,4,1,93,1
2,51,172046,12,14,2,3,0,4,1,49,1
2,55,175942,10,16,2,9,0,4,1,54,1
2,36,145576,12,14,2,0,0,4,1,39,1
3,41,93227,9,13,2,3,0,1,1,59,1
4,56,48102,15,10,2,3,5,4,0,49,1
2,38,172538,9,13,2,12,0,4,1,39,1
2,47,239865,11,9,2,2,0,4,1,44,1
1,39,180686,12,14,2,9,0,4,1,44,1
2,59,170104,9,13,2,3,0,4,1,49,1
2,54,511668,10,16,2,3,0,4,1,42,1
4,54,109418,9,13,2,3,5,4,0,34,1
2,31,110643,9,13,2,3,0,4,1,54,1
3,59,122390,15,10,2,3,0,4,1,47,1
2,46,261059,12,14,2,9,0,4,1,49,1
2,57,140426,10,16,2,12,0,4,1,39,1
2,36,386726,12,14,2,9,5,4,0,43,1
2,44,340885,9,13,2,6,0,4,1,39,1
2,33,149184,14,15,2,9,0,4,1,49,1
2,54,308087,15,10,2,12,0,4,1,17,1
2,55,368797,12,14,2,3,0,4,1,59,1
2,36,218689,12,14,2,11,0,4,1,49,1
1,49,298445,14,15,2,9,5,4,0,59,1
2,41,347653,14,15,2,9,0,4,1,49,1
2,40,320451,10,16,2,9,0,1,1,44,1
2,43,170730,9,13,2,3,0,4,1,49,1
1,39,344855,12,14,2,9,5,4,0,19,1
2,48,109814,14,15,2,9,0,4,1,44,1
2,43,409922,9,13,2,3,0,4,1,49,1
3,42,191196,9,13,2,3,0,4,1,59,1
2,36,237943,9,13,2,9,0,4,1,44,1
2,39,49020,12,14,4,3,1,4,1,39,0
2,21,109414,15,10,4,9,3,1,1,39,0
2,23,275818,15,10,4,11,1,4,0,39,0
2,47,133758,11,9,0,3,1,4,0,39,0
2,30,43953,11,9,4,0,2,4,0,39,0
2,35,147258,15,10,4,6,1,4,1,39,0
2,26,58098,15,10,4,0,1,4,0,39,0
2,26,215384,9,13,4,3,1,4,1,54,0
1,41,33068,12,14,0,9,1,4,1,39,0
1,30,145692,15,10,4,10,1,2,1,39,0
2,28,111696,11,9,5,2,1,4,1,39,0
2,56,105281,11,9,6,11,1,4,0,39,0
2,35,200445,11,9,4,6,3,4,1,39,0
2,34,258666,8,11,4,12,1,4,0,39,0
2,29,214702,11,9,4,2,1,4,1,34,0
2,23,188545,7,12,4,0,3,4,0,19,0
0,24,210736,11,9,4,0,1,4,0,39,0
2,62,81116,15,10,0,0,1,4,1,39,0
4,77,71676,15,10,6,0,1,4,0,0,0
2,47,51835,14,15,2,9,5,4,0,59,1
4,48,191277,10,16,2,9,0,4,1,59,1
4,42,214242,14,15,2,9,0,4,1,49,1
2,31,118710,12,14,2,12,0,4,1,39,1
2,43,274363,9,13,2,3,0,4,1,39,1
2,50,168212,10,16,2,9,0,4,1,64,1
2,36,156667,9,13,2,9,0,4,1,49,1
1,49,193960,12,14,2,9,0,4,1,39,1
2,38,132879,11,9,2,2,0,4,1,39,1
5,48,55863,10,16,2,9,5,4,0,45,1
2,46,265266,9,13,2,9,0,4,1,39,1
4,56,145574,11,9,2,7,0,4,1,59,1
2,37,188540,11,9,2,3,0,4,1,44,1
2,51,415287,11,9,2,6,0,2,1,39,1
2,43,201723,12,14,2,3,0,4,1,39,1
1,46,36228,11,9,2,2,0,4,1,39,0
1,42,121718,12,14,2,3,0,4,1,59,1
2,45,26522,15,10,2,0,5,4,0,34,1
2,23,196827,15,10,2,6,0,4,1,39,0
2,45,246891,9,13,2,11,0,4,1,39,1
5,30,199539,11,9,2,0,0,4,1,39,0
5,49,133917,10,16,2,9,0,2,1,59,1
2,49,101320,7,12,2,11,5,4,0,39,1
2,57,98350,14,15,2,2,0,1,1,39,1
4,42,157562,9,13,2,4,0,4,1,76,1
1,43,105862,15,10,2,0,5,4,0,39,1
2,43,336513,15,10,2,3,0,4,1,39,1
2,42,378384,14,15,2,9,0,4,1,59,1
2,53,104501,9,13,2,3,0,4,1,54,1
1,40,244522,12,14,2,9,0,4,1,47,1
2,46,324655,12,14,2,12,0,4,1,39,1
2,41,84610,9,13,2,3,0,4,1,59,1
2,49,329603,9,13,2,2,0,4,1,39,1
4,31,348038,9,13,2,9,0,4,1,49,1
2,34,299635,12,14,2,3,0,4,1,49,1
0,40,298635,12,14,2,12,0,1,1,39,1
2,50,184424,15,10,2,0,5,4,0,37,1
2,54,86837,11,9,2,2,0,1,1,39,1
2,49,142287,15,10,2,0,0,4,1,49,1
4,44,402397,12,14,2,3,5,4,0,59,1
1,57,118481,9,13,2,9,0,4,1,39,1
1,28,250135,12,14,2,9,5,4,0,54,0
2,57,20953,15,10,2,11,0,4,1,39,1
